"Effect_Size_ID","Study_ID","Species_ID","Study_Pop_ID_(1)","Study_Pop_ID_(2)","Treatment_ID","Trait_ID","First_Author","Title","Publication_Year","Publication_Year_Z","Journal","Impact_Factor","Kingdom","Phylum","Class","Order","Family","Scientific_Name","Ecosystem","First_Population","Second_Population","Plasticity_Category","Type","T1","T1_Number","T2","T2_Number","Treatment_Unit","high","Category","Measurement","Trait_Unit","Total_Shared_Control","Shared_Animal_Number","n_(P1T1)","Mean_(P1T1)","SD_(P1T1)","n_(P1T2)","Mean_(P1T2)","SD_(P1T2)","n_(P2T1)","Mean_(P2T1)","SD_(P2T1)","n_(P2T2)","Mean_(P2T2)","SD_(P2T2)","Effect_Size","Variance","Effect_Size_Type","Variance_Type","Percentage_Transformation","Proportion_Transformation","n_(P1T1)_Adjusted","Mean_(P1T1)_Adjusted","SD_(P1T1)_Adjusted","n_(P1T2)_Adjusted","Mean_(P1T2)_Adjusted","SD_(P1T2)_Adjusted","n_(P2T1)_Adjusted","Mean_(P2T1)_Adjusted","SD_(P2T1)_Adjusted","n_(P2T2)_Adjusted","Mean_(P2T2)_Adjusted","SD_(P2T2)_Adjusted","Effect_Size_Adjusted","Variance_Adjusted","Precision","Effect_Size_Type_Adjusted","Variance_Type_Adjusted","Precision_Type"
1,1,1,1.1,1.2,1,1,"Santos, M. A.","High developmental temperature leads to low reproduction despite 
adult temperature",2021,1.59854723248596,"Journal of Thermal Biology",2.902,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila subobscura","Terrestrial","Adraga","Groningen","Developmental","Temperature","14",14,"18",18,"℃","T2","Life-History Traits","Fecundity","Eggs",1,1,3,52.5461254612546,2.28752527525154,3,62.9520295202952,2.28752527525151,3,49.0774907749077,11.3609398782051,3,69.8892988929889,7.08602389141265,-0.172830416450521,0.0223609738703187,-0.0432076041126301,0.0848609738703187,"No","No",3,52.5461254612546,2.28752527525154,3,62.9520295202952,2.28752527525151,3,49.0774907749077,11.3609398782051,3,69.8892988929889,7.08602389141265,-0.172830416450521,0.0223609738703187,-0.12643919596543,-0.0432076041126301,0.0848609738703187,-0.0961910512661404
2,1,1,1.1,1.2,1,2,"Santos, M. A.","High developmental temperature leads to low reproduction despite 
adult temperature",2021,1.59854723248596,"Journal of Thermal Biology",2.902,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila subobscura","Terrestrial","Adraga","Groningen","Developmental","Temperature","14",14,"18",18,"℃","T2","Life-History Traits","Development Time","Days",1,1,3,5.57066189624329,0.145298601474218,3,3.41860465116279,0.144104346140584,3,5.61001788908766,0.491936900136955,3,3.4830053667263,0.210126353672111,-0.0116230320555726,0.00459538044794305,-0.00290575801389314,0.067095380447943,"No","No",3,5.57066189624329,0.145298601474218,3,3.41860465116279,0.144104346140584,3,5.61001788908766,0.491936900136955,3,3.4830053667263,0.210126353672111,-0.0116230320555726,0.00459538044794305,-0.0886834817198784,-0.00290575801389314,0.067095380447943,0.0374554842847447
3,2,1,2.1,2.2,1,1,"Ramos-Rodríguez, E.","Intraspecific variation in sensitivity to food availability and temperature-induced phenotypic plasticity in the rotifer Keratella cochlearis",2020,1.47601969721816,"Journal of Experimental Biology",3.312,"Metazoa","Rotifera","Monogononta","Ploima","Brachionidae","Keratella cochlearis","Aquatic","Tinaja Lake","Cueva Morenilla Lake","Transgenerational","Temperature","9.6999999999999993",9.7,"15.6",15.6,"℃","T2","Morphology","Lorica Length","μm",1,2,13,111.97270471464,4.32129346414169,13,115.533498759305,2.37984277735336,13,112.45905707196,4.63443067168817,13,113.987593052109,3.13137207546501,0.0178049954397554,0.000335892564902059,0.00301779583724669,0.0290632697553646,"No","No",13,111.97270471464,4.32129346414169,13,115.533498759305,2.37984277735336,13,112.45905707196,4.63443067168817,13,113.987593052109,3.13137207546501,0.0178049954397554,0.000335892564902059,0.51394642732062,0.00301779583724669,0.0290632697553646,0.872850641718423
4,2,1,2.1,2.2,1,2,"Ramos-Rodríguez, E.","Intraspecific variation in sensitivity to food availability and temperature-induced phenotypic plasticity in the rotifer Keratella cochlearis",2020,1.47601969721816,"Journal of Experimental Biology",3.312,"Metazoa","Rotifera","Monogononta","Ploima","Brachionidae","Keratella cochlearis","Aquatic","Tinaja Lake","Cueva Morenilla Lake","Transgenerational","Temperature","9.6999999999999993",9.7,"15.6",15.6,"℃","T2","Morphology","Lorica Width","μm",1,2,13,78.7704517704518,3.09927728684571,13,82.1306471306471,2.07792454458974,13,78.028083028083,2.88796292637896,13,77.6568986568986,1.51441958334506,0.046541700147503,0.000302951247777266,0.00788842375381407,0.0290303284382398,"No","No",13,78.7704517704518,3.09927728684571,13,82.1306471306471,2.07792454458974,13,78.028083028083,2.88796292637896,13,77.6568986568986,1.51441958334506,0.046541700147503,0.000302951247777266,0.584640496681703,0.00788842375381407,0.0290303284382398,0.874522976242498
5,2,1,2.1,2.2,1,3,"Ramos-Rodríguez, E.","Intraspecific variation in sensitivity to food availability and temperature-induced phenotypic plasticity in the rotifer Keratella cochlearis",2020,1.47601969721816,"Journal of Experimental Biology",3.312,"Metazoa","Rotifera","Monogononta","Ploima","Brachionidae","Keratella cochlearis","Aquatic","Tinaja Lake","Cueva Morenilla Lake","Transgenerational","Temperature","9.6999999999999993",9.7,"15.6",15.6,"℃","T2","Morphology","Posterior Spine Length","μm",1,2,13,43.4126213592233,4.77823057379451,13,58.3300970873786,3.67556197984195,13,36.7184466019417,3.55304324718055,13,48.1359223300971,2.81793085121216,0.0246185282809992,0.00222119226351803,0.00417263191203376,0.0309485694539805,"No","No",13,43.4126213592233,4.77823057379451,13,58.3300970873786,3.67556197984195,13,36.7184466019417,3.55304324718055,13,48.1359223300971,2.81793085121216,0.0246185282809992,0.00222119226351803,-0.0378882819131376,0.00417263191203376,0.0309485694539805,0.783071807109844
6,3,1,3.1,3.2,1,1,"Simões, P.","Beneficial developmental acclimation in reproductive performance under cold but not heat stress",2020,1.47601969721816,"Journal of Thermal Biology",2.902,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila subobscura","Terrestrial","Adraga","Groningen","Developmental","Temperature","15",15,"18",18,"℃","T2","Life-History Traits","Fecundity","Eggs",1,3,3,130.721003134796,8.6874021696245,3,169.592476489028,13.5740658900383,3,115.987460815047,5.4296263560153,3,176.489028213166,16.8318417036474,-0.159443565453739,0.00736993667760519,-0.0531478551512465,0.118481047788716,"No","No",3,130.721003134796,8.6874021696245,3,169.592476489028,13.5740658900383,3,115.987460815047,5.4296263560153,3,176.489028213166,16.8318417036474,-0.159443565453739,0.00736993667760519,-0.106574022165548,-0.0531478551512465,0.118481047788716,-0.239416563461357
7,3,1,3.1,3.2,1,2,"Simões, P.","Beneficial developmental acclimation in reproductive performance under cold but not heat stress",2020,1.47601969721816,"Journal of Thermal Biology",2.902,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila subobscura","Terrestrial","Adraga","Groningen","Developmental","Temperature","15",15,"18",18,"℃","T2","Morphology","Wing Centroid Size","mm",1,3,3,1.26475548060708,0.0204457936812511,3,1.21922428330523,0.00584165533750071,3,1.27655986509275,0.00876248300625087,3,1.22596964586847,0.0146041383437508,0.00377279153233945,0.000157769817140339,0.00125759717744648,0.111268880928251,"No","No",3,1.26475548060708,0.0204457936812511,3,1.21922428330523,0.00584165533750071,3,1.27655986509275,0.00876248300625087,3,1.22596964586847,0.0146041383437508,0.00377279153233945,0.000157769817140339,1.24797037840573,0.00125759717744648,0.111268880928251,-0.215983893415396
8,3,1,3.1,3.2,1,3,"Simões, P.","Beneficial developmental acclimation in reproductive performance under cold but not heat stress",2020,1.47601969721816,"Journal of Thermal Biology",2.902,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila subobscura","Terrestrial","Adraga","Groningen","Developmental","Temperature","15",15,"18",18,"℃","T2","Life-History Traits","Development Time","Days",1,3,3,4.86215538847118,0.260458768055469,3,3.6390977443609,0.243094850185105,3,4.99248120300752,0.191003096574012,3,3.45864661654135,0.243094850185105,0.0773096033206608,0.00457859073796575,0.0257698677735536,0.115689701849077,"No","No",3,4.86215538847118,0.260458768055469,3,3.6390977443609,0.243094850185105,3,4.99248120300752,0.191003096574012,3,3.45864661654135,0.243094850185105,0.0773096033206608,0.00457859073796575,-0.0885092187726859,0.0257698677735536,0.115689701849077,-0.23069390851419
9,4,1,4.1,4.2,1,1,"Resende, R. S.","Responses of Leptinaria unilamellata (Gastropoda: Subulinidae) to Novel Micro-Environmental Conditions: Shift in Shell Morphology and the Balance Between Protection Against Desiccation and Reproductive Success",2020,1.47601969721816,"Zoological Science",0.931,"Metazoa","Mollusca","Gastropoda","Stylommatophora","Subulinidae","Leptinaria unilamellata","Terrestrial","Chácara","Leopoldina","Developmental","Humidity","High",NA,"Low",NA,NA,"T1","Morphology","Shell Length","mm",1,4,30,17.13,3.15,30,5.92,0.42,30,12.75,1.91,30,12.37,2.78,1.03223777824008,0.00372653824105837,NA,NA,"No","No",30,17.13,3.15,30,5.92,0.42,30,12.75,1.91,30,12.37,2.78,1.03223777824008,0.00372653824105837,-0.0776037558947067,NA,NA,NA
10,4,1,4.1,4.2,1,2,"Resende, R. S.","Responses of Leptinaria unilamellata (Gastropoda: Subulinidae) to Novel Micro-Environmental Conditions: Shift in Shell Morphology and the Balance Between Protection Against Desiccation and Reproductive Success",2020,1.47601969721816,"Zoological Science",0.931,"Metazoa","Mollusca","Gastropoda","Stylommatophora","Subulinidae","Leptinaria unilamellata","Terrestrial","Chácara","Leopoldina","Developmental","Humidity","High",NA,"Low",NA,NA,"T1","Morphology","Shell Width","mm",1,4,30,8.61,1.73,30,8.15,1.12,30,5.94,0.66,30,5.64,1.19,0.0030813233222815,0.00387071257539611,NA,NA,"No","No",30,8.61,1.73,30,8.15,1.12,30,5.94,0.66,30,5.64,1.19,0.0030813233222815,0.00387071257539611,-0.0797865190139725,NA,NA,NA
