"Effect_Size_ID","Study_ID","Species_ID","Study_Pop_ID_(1)","Study_Pop_ID_(2)","Treatment_ID","Trait_ID","RNG","First_Author","Title","Publication_Year","Journal","Impact_Factor","Scientific_Name","Ecosystem","First_Population","Second_Population","Type","T1","T2","Treatment_Unit","Category","Measurement","Trait_Unit","Percentage_Transformation","Proportion_Transformation","Plasticity_Category","n_(P1T1)","Mean_(P1T1)","SD_(P1T1)","n_(P1T2)","Mean_(P1T2)","SD_(P1T2)","n_(P2T1)","Mean_(P2T1)","SD_(P2T1)","n_(P2T2)","Mean_(P2T2)","SD_(P2T2)"
1,1,1,1.1,1.2,1,1,1,"Santos, M. A.","High developmental temperature leads to low reproduction despite 
adult temperature",2021,"Journal of Thermal Biology",2.902,"Drosophila subobscura","Terrestrial","Adraga","Groningen","Temperature","14","18","℃","Life-History Traits","Fecundity","Eggs","No","No","Developmental",3,52.5461254612546,2.28752527525154,3,62.9520295202952,2.28752527525151,3,49.0774907749077,11.3609398782051,3,69.8892988929889,7.08602389141265
2,1,1,1.1,1.2,1,2,1,"Santos, M. A.","High developmental temperature leads to low reproduction despite 
adult temperature",2021,"Journal of Thermal Biology",2.902,"Drosophila subobscura","Terrestrial","Adraga","Groningen","Temperature","14","18","℃","Life-History Traits","Age at First Reproduction","Days","No","No","Developmental",3,5.57066189624329,0.145298601474218,3,3.41860465116279,0.144104346140584,3,5.61001788908766,0.491936900136955,3,3.4830053667263,0.210126353672111
3,2,1,2.1,2.2,1,1,2,"Ramos-Rodríguez, E.","Intraspecific variation in sensitivity to food availability and temperature-induced phenotypic plasticity in the rotifer Keratella cochlearis",2020,"Journal of Experimental Biology",3.312,"Keratella cochlearis","Aquatic","Tinaja Lake","Cueva Morenilla Lake","Temperature","9.6999999999999993","15.6","℃","Morphology","Lorica Length","μm","No","No","Transgenerational",13,111.97270471464,4.32129346414169,13,115.533498759305,2.37984277735336,13,112.45905707196,4.63443067168817,13,113.987593052109,3.13137207546501
4,2,1,2.1,2.2,1,2,2,"Ramos-Rodríguez, E.","Intraspecific variation in sensitivity to food availability and temperature-induced phenotypic plasticity in the rotifer Keratella cochlearis",2020,"Journal of Experimental Biology",3.312,"Keratella cochlearis","Aquatic","Tinaja Lake","Cueva Morenilla Lake","Temperature","9.6999999999999993","15.6","℃","Morphology","Lorica Width","μm","No","No","Transgenerational",13,78.7704517704518,3.09927728684571,13,82.1306471306471,2.07792454458974,13,78.028083028083,2.88796292637896,13,77.6568986568986,1.51441958334506
5,2,1,2.1,2.2,1,3,1,"Ramos-Rodríguez, E.","Intraspecific variation in sensitivity to food availability and temperature-induced phenotypic plasticity in the rotifer Keratella cochlearis",2020,"Journal of Experimental Biology",3.312,"Keratella cochlearis","Aquatic","Tinaja Lake","Cueva Morenilla Lake","Temperature","9.6999999999999993","15.6","℃","Morphology","Posterior Spine Length","μm","No","No","Transgenerational",13,43.4126213592233,4.77823057379451,13,58.3300970873786,3.67556197984195,13,36.7184466019417,3.55304324718055,13,48.1359223300971,2.81793085121216
6,3,1,3.1,3.2,1,1,1,"Simões, P.","Beneficial developmental acclimation in reproductive performance under cold but not heat stress",2020,"Journal of Thermal Biology",2.902,"Drosophila subobscura","Terrestrial","Adraga","Groningen","Temperature","15","18","℃","Life-History Traits","Fecundity","Eggs","No","No","Developmental",3,130.721003134796,8.6874021696245,3,169.592476489028,13.5740658900383,3,115.987460815047,5.4296263560153,3,176.489028213166,16.8318417036474
7,3,1,3.1,3.2,1,2,1,"Simões, P.","Beneficial developmental acclimation in reproductive performance under cold but not heat stress",2020,"Journal of Thermal Biology",2.902,"Drosophila subobscura","Terrestrial","Adraga","Groningen","Temperature","15","18","℃","Morphology","Wing Centroid Size","mm","No","No","Developmental",3,1.26475548060708,0.0204457936812511,3,1.21922428330523,0.00584165533750071,3,1.27655986509275,0.00876248300625087,3,1.22596964586847,0.0146041383437508
8,3,1,3.1,3.2,1,3,1,"Simões, P.","Beneficial developmental acclimation in reproductive performance under cold but not heat stress",2020,"Journal of Thermal Biology",2.902,"Drosophila subobscura","Terrestrial","Adraga","Groningen","Temperature","15","18","℃","Life-History Traits","Age at First Reproduction","Days","No","No","Developmental",3,4.86215538847118,0.260458768055469,3,3.6390977443609,0.243094850185105,3,4.99248120300752,0.191003096574012,3,3.45864661654135,0.243094850185105
9,4,1,4.1,4.2,1,1,2,"Resende, R. S.","Responses of Leptinaria unilamellata (Gastropoda: Subulinidae) to Novel Micro-Environmental Conditions: Shift in Shell Morphology and the Balance Between Protection Against Desiccation and Reproductive Success",2020,"Zoological Science",0.931,"Leptinaria unilamellata","Terrestrial","Chácara","Leopoldina","Humidity","High","Low",NA,"Morphology","Shell Length","mm","No","No","Developmental",30,17.13,3.15,30,5.92,0.42,30,12.75,1.91,30,12.37,2.78
10,4,1,4.1,4.2,1,2,2,"Resende, R. S.","Responses of Leptinaria unilamellata (Gastropoda: Subulinidae) to Novel Micro-Environmental Conditions: Shift in Shell Morphology and the Balance Between Protection Against Desiccation and Reproductive Success",2020,"Zoological Science",0.931,"Leptinaria unilamellata","Terrestrial","Chácara","Leopoldina","Humidity","High","Low",NA,"Morphology","Shell Width","mm","No","No","Developmental",30,8.61,1.73,30,8.15,1.12,30,5.94,0.66,30,5.64,1.19
11,4,1,4.1,4.2,1,3,2,"Resende, R. S.","Responses of Leptinaria unilamellata (Gastropoda: Subulinidae) to Novel Micro-Environmental Conditions: Shift in Shell Morphology and the Balance Between Protection Against Desiccation and Reproductive Success",2020,"Zoological Science",0.931,"Leptinaria unilamellata","Terrestrial","Chácara","Leopoldina","Humidity","High","Low",NA,"Morphology","Aperture Length","mm","No","No","Developmental",30,7.61,1.72,30,7.55,1.07,30,5.05,0.58,30,4.99,1.02
12,4,1,4.1,4.2,1,4,1,"Resende, R. S.","Responses of Leptinaria unilamellata (Gastropoda: Subulinidae) to Novel Micro-Environmental Conditions: Shift in Shell Morphology and the Balance Between Protection Against Desiccation and Reproductive Success",2020,"Zoological Science",0.931,"Leptinaria unilamellata","Terrestrial","Chácara","Leopoldina","Humidity","High","Low",NA,"Morphology","Aperture Width","mm","No","No","Developmental",30,4.47,1.35,30,4.16,0.68,30,3.06,0.57,30,2.97,0.67
